DATE,HPI,UNEMP,CPI,DFF,GDP,PERMIT,Housing Inventory,Med Household Income,Working Population,PPI-Construction,Mortgage
2000-01-01,100.551,4,3.376857271,3.99,10002.179,1727,,41990,178291813.5,144.1,8.26
2000-02-01,101.339,4.1,3.376857271,5.79,10002.179,1692,,,178341125.8,144.7,
2000-03-01,102.126,4,3.376857271,5.78,10002.179,1651,,,178401779.6,145.4,
2000-04-01,102.922,3.8,3.376857271,6.17,10247.72,1597,116047,,178581196.5,145.6,8.32
2000-05-01,103.677,4,3.376857271,6.17,10247.72,1543,,,178727641.3,144.9,
2000-06-01,104.424,4,3.376857271,6.65,10247.72,1572,,,179056626.2,145,
2000-07-01,105.053,4,3.376857271,6.86,10318.165,1542,116482,,179327691.3,144.4,8.02
2000-08-01,105.768,4.1,3.376857271,6.51,10318.165,1552,,,179397067,143.7,
2000-09-01,106.538,3.9,3.376857271,6.52,10318.165,1570,,,179568086.1,143.4,
2000-10-01,107.382,3.9,3.376857271,6.6,10435.744,1577,116914,,179755338.5,143.3,7.62
2000-11-01,108.301,3.9,3.376857271,6.61,10435.744,1614,,,179928502.3,142.7,
2000-12-01,109.14,3.9,3.376857271,6.6,10435.744,1543,,,180137882.9,142.5,
2001-01-01,109.846,4.2,2.826171119,5.41,10470.231,1699,117347,42228,180414372.7,142,7.01
2001-02-01,110.5,4.2,2.826171119,5.57,10470.231,1656,,,180575196.3,142.4,
2001-03-01,111.108,4.3,2.826171119,5.59,10470.231,1659,,,180632413.8,142.4,
2001-04-01,111.651,4.4,2.826171119,5.29,10599,1666,117786,,180904658,142.5,7.13
2001-05-01,112.163,4.3,2.826171119,4.61,10599,1665,,,181014842.1,144.2,
2001-06-01,112.796,4.5,2.826171119,4.14,10599,1626,,,181357258,144.3,
2001-07-01,113.491,4.6,2.826171119,3.95,10598.02,1598,118216,,181617688.5,143.4,6.96
2001-08-01,114.167,4.9,2.826171119,3.79,10598.02,1615,,,181831014.5,143.3,
2001-09-01,114.811,5,2.826171119,3.66,10598.02,1565,,,182060207.3,143,
2001-10-01,115.309,5.3,2.826171119,3.02,10660.465,1566,118635,,182237194.4,142.3,6.77
2001-11-01,115.856,5.5,2.826171119,2.61,10660.465,1651,,,182430314.2,142.1,
2001-12-01,116.455,5.7,2.826171119,2.06,10660.465,1680,,,182640895.5,141.7,
2002-01-01,117.143,5.7,1.586031627,1.52,10783.5,1665,119061,42409,182563984.3,142,6.97
2002-02-01,117.844,5.7,1.586031627,1.77,10783.5,1787,,,182796063.5,142.2,
2002-03-01,118.687,5.7,1.586031627,1.78,10783.5,1691,,,183077375.1,143.2,
2002-04-01,119.61,5.9,1.586031627,1.88,10887.46,1669,119483,,183256970.5,143.5,6.81
2002-05-01,120.723,5.8,1.586031627,1.88,10887.46,1716,,,183508183.6,143.8,
2002-06-01,121.813,5.8,1.586031627,1.79,10887.46,1758,,,183670224.9,144.3,
2002-07-01,122.888,5.8,1.586031627,1.83,10984.04,1738,119909,,183889277.8,144.7,6.29
2002-08-01,123.831,5.7,1.586031627,1.79,10984.04,1695,,,184162336.5,145.1,
2002-09-01,124.78,5.7,1.586031627,1.81,10984.04,1803,,,184425200,145.4,
2002-10-01,125.734,5.7,1.586031627,1.85,11061.433,1799,120350,,184554629.8,145,6.08
2002-11-01,126.669,5.9,1.586031627,1.74,11061.433,1771,,,184744777.7,144.6,
2002-12-01,127.623,6,1.586031627,1.23,11061.433,1896,,,184858834.6,144.3,
2003-01-01,128.461,5.8,2.270094973,1.16,11174.129,1808,120792,43318,185633177.8,144.4,5.84
2003-02-01,129.355,5.9,2.270094973,1.33,11174.129,1854,,,185868180.6,145.2,
2003-03-01,130.147,5.9,2.270094973,1.33,11174.129,1757,,,186083844.9,145.2,
2003-04-01,130.884,6,2.270094973,1.29,11312.766,1803,121233,,186468809.7,145.9,5.51
2003-05-01,131.735,6.1,2.270094973,1.3,11312.766,1835,,,186649288.7,145.8,
2003-06-01,132.649,6.3,2.270094973,1.28,11312.766,1875,,,186800673.2,146.1,
2003-07-01,133.777,6.2,2.270094973,1.11,11566.669,1885,121682,,187068073.1,147,6.03
2003-08-01,134.968,6.1,2.270094973,1,11566.669,1966,,,187306748.8,147.2,
2003-09-01,136.294,6.1,2.270094973,1.01,11566.669,1961,,,187540687.3,149,
2003-10-01,137.533,6,2.270094973,1.11,11772.234,2012,122159,,187738705.2,149.6,5.92
2003-11-01,138.794,5.8,2.270094973,1.03,11772.234,1918,,,187972927.6,150.2,
2003-12-01,140.18,5.7,2.270094973,1.03,11772.234,1987,,,188134612,149.7,
2004-01-01,141.646,5.7,2.677236693,0.94,11923.447,1952,122632,44334,187687935.7,150,5.6
2004-02-01,143.192,5.6,2.677236693,1.03,11923.447,1966,,,187875803.3,153.4,
2004-03-01,145.058,5.8,2.677236693,1.04,11923.447,2066,,,188056565,156.5,
2004-04-01,146.592,5.6,2.677236693,1.03,12112.815,2070,123099,,188319130.3,160.1,6.11
2004-05-01,148.185,5.6,2.677236693,1.03,12112.815,2150,,,188475957.7,162.7,
2004-06-01,149.85,5.6,2.677236693,1.02,12112.815,2020,,,188688742.7,162,
2004-07-01,151.338,5.5,2.677236693,1.4,12305.307,2112,123587,,188841489.7,162.2,5.89
2004-08-01,152.633,5.4,2.677236693,1.29,12305.307,2056,,,189071941.1,165.9,
2004-09-01,154.179,5.4,2.677236693,1.53,12305.307,2041,,,189218033.6,167.2,
2004-10-01,155.75,5.5,2.677236693,1.86,12527.214,2097,124096,,189445933.6,165.9,5.74
2004-11-01,157.527,5.4,2.677236693,1.83,12527.214,2079,,,189654101.4,165.5,
2004-12-01,159.329,5.4,2.677236693,2.04,12527.214,2082,,,189809460.2,166.3,
2005-01-01,161.288,5.3,3.392746845,1.97,12767.286,2139,124611,46326,189990348.2,168.6,5.77
2005-02-01,163.344,5.4,3.392746845,2.4,12767.286,2114,,,190144325,170.4,
2005-03-01,165.812,5.2,3.392746845,2.39,12767.286,2062,,,190461890.1,170,
2005-04-01,167.501,5.2,3.392746845,2.83,12922.656,2150,125118,,190464406.9,170,5.71
2005-05-01,169.351,5.1,3.392746845,2.97,12922.656,2085,,,190709865,168.1,
2005-06-01,171.19,5,3.392746845,3.02,12922.656,2178,,,190962044.7,167.8,
2005-07-01,172.86,5,3.392746845,3.36,13142.642,2203,125619,,191116066,167.2,5.76
2005-08-01,174.442,4.9,3.392746845,3.3,13142.642,2219,,,191265815.7,165.9,
2005-09-01,176.438,5,3.392746845,3.57,13142.642,2263,,,191438694,168.9,
2005-10-01,178.027,5,3.392746845,3.93,13324.204,2170,126104,,191656368,171.6,6.23
2005-11-01,179.681,5,3.392746845,3.99,13324.204,2218,,,191931883,172.7,
2005-12-01,180.91,4.9,3.392746845,4.03,13324.204,2120,,,192144968.5,173.5,
2006-01-01,182.321,4.7,3.225944101,4.09,13599.16,2212,126584,48201,192350787.7,177.2,6.25
2006-02-01,183.287,4.8,3.225944101,4.47,13599.16,2141,,,192543098.6,177.7,
2006-03-01,184.365,4.7,3.225944101,4.52,13599.16,2118,,,192689286.5,178.3,
2006-04-01,184.329,4.7,3.225944101,5,13753.424,1998,127072,,192816113.3,179,6.6
2006-05-01,184.156,4.6,3.225944101,4.84,13753.424,1905,,,192911928.1,179.9,
2006-06-01,183.507,4.6,3.225944101,5.02,13753.424,1867,,,193147007.3,180.7,
2006-07-01,183.067,4.7,3.225944101,5.05,13870.188,1763,127548,,193316170.2,182.3,6.56
2006-08-01,182.593,4.7,3.225944101,5.27,13870.188,1722,,,193455299.8,182.6,
2006-09-01,182.798,4.5,3.225944101,5.25,13870.188,1655,,,193557786.6,183.3,
2006-10-01,183.199,4.4,3.225944101,5.34,14039.56,1570,127991,,193703430.5,182.3,6.24
2006-11-01,183.61,4.5,3.225944101,5.23,14039.56,1535,,,193948962.5,179.8,
2006-12-01,184.139,4.4,3.225944101,5.27,14039.56,1638,,,194181794.2,179.8,
2007-01-01,184.517,4.6,2.852672482,5.17,14215.651,1626,128439,50233,194950137,181.1,6.21
2007-02-01,184.599,4.5,2.852672482,5.29,14215.651,1598,,,195127608.2,181.5,
2007-03-01,184.15,4.4,2.852672482,5.31,14215.651,1596,,,195234198.9,182.5,
